~datetime~content~title~src~主题~行业
0~2024-08-11 23:58:38~沙特证交所全股指数收收涨0.90%，报11771.69点。沙特阿美收涨0.72%，报27.95沙特里亚尔。卡塔尔证交所指数收涨0.24%，科威特证交所超级市场价格回报指数收涨0.66%。埃及证交所EGX 30指数收涨2.72%，报29532.67点，逼近4月17日收盘位29667.71点。~~新浪财经~美股~证券
1~2024-08-11 23:47:41~【二季度商业银行净息差止跌 专家预计后续将进一步企稳】总体来看，今年上半年，银行业总资产保持增长。我国银行业金融机构本外币资产总额433.1万亿元，同比增长6.6%。其中，大型商业银行本外币资产总额185.1万亿元，同比增长7.9%，占比42.7%；股份制商业银行本外币资产总额72.1万亿元，同比增长3.7%，占比16.7%。~~新浪财经~经济数据~多元金融
2~2024-08-11 23:30:43~市场消息：以色列国防军称哈马斯在汗尤尼斯安全区活动，发布新的撤离命令。~~新浪财经~外汇~证券
3~2024-08-11 23:29:02~中共中央、国务院致第33届奥运会中国体育代表团的贺电。（央视新闻）~~新浪财经~政策~教育
4~2024-08-11 23:25:13~【巴黎奥运会奖牌榜：中国40金与美国持平】2024巴黎奥运会全部比赛结束，中国体育代表团收获40金27银24铜，金牌数和美国持平，创中国境外奥运最佳！（央视体育）~~新浪财经~~教育
5~2024-08-11 23:17:04~【广西发布山洪灾害橙色预警】广西水利厅和广西气象局于8月11日16时联合发布山洪灾害气象预警：预计，8月11日20时至8月12日20时，百色市西南部、崇左市北部发生山洪灾害可能性大（橙色预警），桂林市西部可能发生山洪灾害（蓝色预警）。请各影响区注意做好监测、巡查、预警和转移避险等山洪灾害防范工作。~~新浪财经~灾害事故~保险
6~2024-08-11 23:15:30~海南省气象台2024年08月11日23时05分解除北部湾北部海面海上雷雨大风黄色预警信号。~~新浪财经~~机场航运
7~2024-08-11 23:11:38~【商务部消费促进司副司长安宝军任南昌市委常委、副市长提名人选】 据微信公众号“南昌发布”消息，8月11日，江西省委常委、南昌市委书记李红军深入一线，调研重大重点项目建设情况。市委常委、市委组织部部长刘建军，市委常委、副市长提名人选安宝军，副市长江新洪、彭开先参加。上述消息显示，安宝军已任南昌市委常委、副市长提名人选。(澎湃新闻)~~新浪财经~政策~互联网电商
8~2024-08-11 23:10:18~以太坊回落至2600美元/枚下方，日内跌0.42%。比特币回落至60000美元/枚下方，日内跌1.53%。~~新浪财经~外汇~贵金属
9~2024-08-11 23:09:40~【澳门特区行政长官选委会委员选举完成投票程序 初步核算结果公布】 澳门特区行政长官选举管理委员会11日晚表示，2024年澳门特区行政长官选举委员会委员选举的投票程序已经完成。据初步核算结果显示，共有5521名合资格的法人选民代表进行了投票，总体投票率88.12%。总投票人数和总体投票率均创历届行政长官选委会委员选举新高，反映了澳门社会对新选举制度的支持和认可。 选举管理委员会表示，此次报名参选人士来自澳门社会各界，代表不同行业及专业，充分体现出选委会的广泛代表性。此外，当选人中有120多人是首次参选，将成为选委会中的新面孔，为选委会带来新气象，而且当选人平均年龄较上一届年轻，正是选委薪火相传的表现，同时也反映出澳门青年人更加关心和积极参与特区的政治活动。（大湾区之声）~~新浪财经~政策~教育
10~2024-08-11 23:09:18~【巴黎奥运会中国体育代表团：中国建设干净的国家队反兴奋剂生态体系】巴黎奥运会中国体育代表团副团长刘国永介绍，截至8月10日，代表团405名运动员，共35个项目151名运动员接受兴奋剂检查214例，检查数量较东京奥运会230例的未增反降，体现出国际反兴奋剂组织对干净的中国运动员和中国反兴奋剂治理成效的认可。刘国永表示，中国政府全面强化拿道德的金牌、风格的金牌、干净的金牌意识，坚决对兴奋剂问题“零容忍”。多年来坚持系统治理，持续加大“反”的力度，全面完善“防”的制度、体系和措施，建设“干净的国家队反兴奋剂生态体系”。2023年中国反兴奋剂中心实施兴奋剂检查超3.3万例，超全球总量10%。检查数量上升的同时，兴奋剂违规数量从2017年的92例下降到2023年的30例；违规率从0.53%下降到0.09%。中国反兴奋剂经历了由“查”到“管”到“治”的发展阶段，逐步形成了中国特色反兴奋剂治理体系。世界反兴奋剂机构主席班卡表示：中国反兴奋剂治理体系走在世界前列，中国反兴奋剂工作是世界楷模。刘国永表示，下一步，我们将全面总结，不断提升和完善，把竞技体育领域的成功反兴奋剂治理经验推广到青少年体育、社会体育和职业体育领域中去，全面推进中国反兴奋剂工作高质量发展，为体育强国建设保驾护航。（央视新闻）~~新浪财经~政策~化学制药
11~2024-08-11 23:06:14~【苹果明年有望推出iPhone17Air】马克・古尔曼（Mark Gurman）在最新一期《Power On》栏目中透露，今年的 iPhone 16 系列将较上一代产品调整不大，而 iPhone 17 系列或迎来较大调整。 古尔曼证实超薄 iPhone 17 的存在，并写道，他们的想法是创造某种形式的“Air”iPhone，一种介于 iPhone 17 和 iPhone 17 Pro 之间的产品。他预计这款新的超薄机型将比 iPhone 12/13 mini 和 iPhone 14/15/16 Plus “更受欢迎”。 此外，他还描述了有关其他未来 iPhone 型号的一些细节。古尔曼透露，苹果将希望将 Pro 版的性能融入到较小机型中，该公司可能至少要到 2027 年才能实现这一目标。凭借更纤薄的外形尺寸，苹果可能会推出 iPhone Ultra 型号，这比目前传闻的 iPhone 17 Slim 更具吸引力。 古尔曼还透露，iPhone SE 4 不仅看起来像 iPhone 14，而且还将支持 Apple Intelligence，这意味着这款新机有望搭载高性能芯片。 IT之家注意到，分析师 Jeff Pu 今年 5 月便声称苹果公司明年的 iPhone 17 阵容有重大变化，号称系列机型将采用“焕然一新的设计”，同时改进前置摄像头，引入更小的灵动岛等。 Jeff Pu 还表示，苹果将推出一款新的“iPhone 17 Slim”机型，以取代阵容中的“Plus”机型，但这款 Slim 机型并非此前 iPhone 12/13 mini 的延续。（IT之家）~~新浪财经~~消费电子
